,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
61,202203,3호선,경복궁(정부서울청사),107,1,2087,1505,5114,12411,11350,36676,16986,93065,15966,57068,12753,33494,15159,29683,19492,31021,24224,31844,28102,27814,38135,23003,47462,23303,60113,22968,87781,25879,36478,16159,28481,9473,27665,7861,18777,7653,6181,4918,3,221,0,0,0,0,0,0,20220403
62,202203,3호선,경찰병원,20,0,2122,260,6083,2859,19492,7852,22290,25003,12552,12225,9398,7027,8132,5372,7693,6457,8071,7715,7787,7319,8320,7231,8596,8311,12896,12448,17325,18219,6026,13674,4390,8531,4101,6729,2736,7158,581,3329,2,872,0,0,0,0,0,0,20220403
63,202203,3호선,고속터미널,59,3,4092,3063,6143,25709,21848,37991,34595,58055,38262,77619,38394,68681,48036,70294,57675,69330,63043,70369,68477,71479,76204,74589,86218,72924,103928,77170,102785,85715,86052,54994,97177,32406,55246,24653,34800,17980,10142,10139,3,346,1,1,0,0,0,0,20220403
64,202203,3호선,교대(법원.검찰청),40,1,1092,808,3187,5608,7126,18059,10809,41629,8906,30710,9322,13551,12087,9104,13428,8643,15756,9139,17563,8480,19364,7989,22126,8718,36213,11070,57338,14187,23893,7784,18849,3833,19774,3292,19659,3155,5158,2335,1,56,0,0,0,0,0,0,20220403
65,202203,3호선,구파발,91,4,8841,1160,25765,7792,75558,19830,64561,25901,36896,22278,25688,22434,24795,18799,26510,20714,24652,23436,25453,23281,27185,23995,29657,28593,30742,37736,25602,62927,16080,50668,13254,29180,11911,25416,7327,20924,1776,18530,13,3594,1,7,0,0,0,0,20220403
66,202203,3호선,금호,11,2,3898,453,8436,2738,22514,4476,30550,7774,18400,5890,11707,5891,10157,6041,10810,6998,10235,8309,8738,9021,8636,11179,9605,12961,9659,17622,9590,26325,6573,18116,4509,12275,3462,10199,3026,9903,983,5513,1,0,0,0,0,0,0,0,20220403
67,202203,3호선,남부터미널(예술의전당),75,4,2290,1250,7629,21878,24328,52114,34327,131108,27644,69645,24711,39110,28436,29387,30239,32365,32908,35125,33332,34511,37869,34181,49137,36306,79072,41091,117352,49339,52446,32504,34870,19148,33435,15102,25735,11253,5654,8051,3,195,0,0,0,0,0,0,20220403
68,202203,3호선,녹번,30,2,8858,551,22216,3334,62157,6639,65857,17369,36892,9436,22394,8463,18561,9420,19144,11125,18007,11701,15318,13208,14404,16105,14796,22929,15711,30709,18383,53987,8415,44734,6199,25510,4770,22135,3438,20343,1058,13037,4,35,1,0,0,0,0,0,20220403
69,202203,3호선,대청,43,2,3314,986,9300,5680,24104,13775,28197,23313,15945,10064,11429,7003,10612,6968,11061,8590,12063,9113,12118,9319,16107,11733,15355,12700,19194,16123,22745,23930,10143,19708,6630,12058,5467,10799,3913,12202,1095,6664,1,146,0,1,0,0,0,0,20220403
70,202203,3호선,대치,9,0,2264,642,9807,8700,20944,17522,20424,23886,12108,15386,9898,11002,10020,10306,12272,13337,12564,15953,12527,14993,14783,16382,16318,20525,23795,24371,23798,25984,15588,19280,11165,10130,13634,8748,29560,8413,2543,4952,1,45,0,1,0,0,0,0,20220403
